OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,716012790,Public,293,349,1958884,672,1958884,
00108700,Arkansas Baptist College,AR,722026099,Private-Nonprofit,91,95,816487,185,804823,
00108800,LYON COLLEGE,AR,725013699,Private-Nonprofit,89,90,862795,162,862795,
00108900,ARKANSAS TECH UNIVERSITY,AR,728012222,Public,421,530,2984273,1011,2984273,
00109000,ARKANSAS STATE UNIVERSITY,AR,724010000,Public,514,590,4476706,961,4476706,
00109100,ARKANSAS STATE UNIVERSITY - BEEBE,AR,720121000,Public,5,5,20000,13,20000,
00109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,720350001,Public,886,1055,8201022,1723,8201022,
00109300,CENTRAL BAPTIST COLLEGE,AR,720346470,Private-Nonprofit,125,128,1205780,253,1205780,
00109400,UNIVERSITY OF THE OZARKS,AR,728302880,Private-Nonprofit,24,24,222636,44,222636,
00109500,CROWLEY'S RIDGE COLLEGE,AR,724509775,Private-Nonprofit,41,42,286660,80,286660,
00109700,HARDING UNIVERSITY,AR,721490001,Private-Nonprofit,669,705,9056006,1228,9056006,
00109800,HENDERSON STATE UNIVERSITY,AR,719990001,Public,211,261,1716401,501,1716401,
00109900,HENDRIX COLLEGE,AR,720323080,Private-Nonprofit,154,162,2554050,287,2554050,
00110000,JOHN BROWN UNIVERSITY,AR,727612747,Private-Nonprofit,207,209,2103177,390,2103177,
00110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,Public,261,322,2193558,615,2193558,
00110200,OUACHITA BAPTIST UNIVERSITY,AR,719980001,Private-Nonprofit,193,203,2185766,366,2185766,
00110300,PHILANDER SMITH COLLEGE,AR,722023718,Private-Nonprofit,174,186,1818073,354,1777824,
00110500,SHORTER COLLEGE,AR,721144885,Private-Nonprofit,1,1,7093,2,7093,
00110600,Williams Baptist University,AR,724764661,Private-Nonprofit,50,50,506231,97,506231,
00110700,SOUTHERN ARKANSAS UNIVERSITY,AR,717535000,Public,296,350,1927057,696,1927057,
00110800,UNIVERSITY OF ARKANSAS,AR,727010000,Public,1630,1890,25115236,3196,25115236,
00110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,Public,47,49,293838,89,293838,
00111000,University of Arkansas at Fort Smith,AR,729047397,Public,59,59,412197,112,412197,
00111100,ALLAN HANCOCK COLLEGE,CA,934546399,Public,0,0,0,0,0,
00111300,ANTELOPE VALLEY COLLEGE,CA,935365426,Public,0,0,0,0,0,
00111600,ART CENTER COLLEGE OF DESIGN,CA,911031999,Private-Nonprofit,235,302,7361949,520,7361949,
00111700,AZUSA PACIFIC UNIVERSITY,CA,917027000,Private-Nonprofit,1142,1379,15557107,2586,15557107,
00111800,Bakersfield College,CA,933051299,Public,1,1,2483,2,2483,
00112000,AMERICAN BAPTIST SEMINARY OF THE WEST,CA,947043029,Private-Nonprofit,0,0,0,0,0,
00112200,Biola University,CA,906390001,Private-Nonprofit,693,752,14268049,1315,14268049,
00112400,Cabrillo College,CA,950033194,Public,0,0,0,0,0,
00112500,CALIFORNIA BAPTIST UNIVERSITY,CA,925043297,Private-Nonprofit,1078,1288,21574578,2095,21574578,
00112700,CALIFORNIA COLLEGE OF THE ARTS,CA,941072206,Private-Nonprofit,255,312,3838771,532,3838771,
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,911250001,Private-Nonprofit,22,24,471168,71,471168,
00113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,913552397,Private-Nonprofit,137,146,4307376,273,4307376,
00113300,California Lutheran University,CA,913602787,Private-Nonprofit,639,689,11160054,1255,11160054,
00113400,California State University Maritime Academy,CA,945908181,Public,179,222,2696938,366,2696938,
00113700,"California State University, Fullerton",CA,928313599,Public,447,469,5945983,906,5945983,
00113800,"California State University, East Bay",CA,945423000,Public,412,421,4827618,1160,4827618,
00113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,908400006,Public,304,315,3612113,590,3612113,
00114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,900324226,Public,84,85,780307,155,780307,
00114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,907470001,Public,172,177,1450676,333,1450676,
00114200,"California State University, San Bernardino",CA,924072397,Public,399,431,3885104,1132,3885104,
00114300,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,934070001,Public,2585,2653,38015237,7517,38015237,
00114400,"California State Polytechnic University, Pomona",CA,917682500,Public,362,397,4398535,1050,4398535,
00114600,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,959290001,Public,353,369,4303357,702,4303357,
00114700,"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,937408026,Public,144,147,1396752,280,1396752,
00114900,Humboldt State University,CA,955218299,Public,296,311,3597961,565,3597961,
00115000,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,958196044,Public,1228,1245,13259422,2383,13259422,
00115100,SAN DIEGO STATE UNIVERSITY,CA,921821690,Public,1724,1830,26693309,3539,26693309,
00115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,913308307,Public,242,265,2131720,500,2131720,
00115400,SAN FRANCISCO STATE UNIVERSITY,CA,941321740,Public,1944,1997,22926074,3671,22926074,
00115500,SAN JOSE STATE UNIVERSITY,CA,951920036,Public,1088,1172,13658920,2121,13658920,
00115600,SONOMA STATE UNIVERSITY,CA,949283609,Public,872,903,11949271,1688,11949271,
00115700,"CALIFORNIA STATE UNIVERSITY, STANISLAUS",CA,953820299,Public,248,258,2078246,477,2078246,
00116100,CERRITOS COMMUNITY COLLEGE,CA,906506296,Public,0,0,0,0,0,
00116200,CHABOT COLLEGE,CA,945452400,Public,0,0,0,0,0,
00116400,CHAPMAN UNIVERSITY,CA,928661099,Private-Nonprofit,1252,1266,26216778,2509,26216778,
00116500,CHURCH DIVINITY SCHOOL OF THE PACIFIC,CA,947091217,Private-Nonprofit,0,0,0,0,0,
00116600,CITRUS COMMUNITY COLLEGE,CA,917411899,Public,12,12,81065,24,81065,
00116900,CLAREMONT GRADUATE UNIVERSITY,CA,917116163,Private-Nonprofit,0,0,0,0,0,
00117000,CLAREMONT MCKENNA COLLEGE,CA,917116400,Private-Nonprofit,51,53,1418959,98,1418959,
00117100,HARVEY MUDD COLLEGE,CA,917115990,Private-Nonprofit,78,82,1607224,150,1607224,
00117200,Pitzer College,CA,917116101,Private-Nonprofit,57,75,1610080,115,1610080,
00117300,POMONA COLLEGE,CA,917116301,Private-Nonprofit,60,60,1445848,120,1445848,
00117400,SCRIPPS COLLEGE,CA,917113948,Private-Nonprofit,46,49,1387317,92,1387317,
00117600,WEST HILLS COMMUNITY COLLEGE,CA,932101399,Public,23,23,121455,175,121455,
00117700,COGSWELL POLYTECHNICAL COLLEGE,CA,951341697,Proprietary,169,209,2595295,452,2595295,
00117800,College of Marin,CA,949042590,Public,0,0,0,0,0,
00117900,NOTRE DAME DE NAMUR UNIVERSITY,CA,940021997,Private-Nonprofit,221,232,4056108,422,4056108,
00118100,COLLEGE OF SAN MATEO,CA,944023784,Public,0,0,0,0,0,
00118300,HOLY NAMES UNIVERSITY,CA,946191699,Private-Nonprofit,96,101,1509614,189,1509614,
00118500,COLLEGE OF THE REDWOODS,CA,955019300,Public,15,15,154822,31,154822,
00118600,COLLEGE OF THE SEQUOIAS,CA,932772234,Public,0,0,0,0,0,
00118700,COLLEGE OF THE SISKIYOUS,CA,960942899,Public,24,26,207761,49,207761,
00119000,CONTRA COSTA COLLEGE,CA,948063195,Public,0,0,0,0,0,
00119100,DIABLO VALLEY COLLEGE,CA,945231544,Public,12,12,109661,16,109661,
00119200,CUESTA COLLEGE,CA,934038106,Public,19,19,195143,36,195143,
00119300,CYPRESS COLLEGE,CA,906305897,Public,0,0,0,0,0,
00119600,DOMINICAN UNIVERSITY OF CALIFORNIA,CA,949012298,Private-Nonprofit,296,342,7002068,610,7002068,
00119900,FOOTHILL COLLEGE,CA,940224597,Public,2,2,12683,4,12683,
00120000,Fuller Theological Seminary,CA,911820002,Private-Nonprofit,0,0,0,0,0,
00120100,FULLERTON COLLEGE,CA,928322095,Public,0,0,0,0,0,
00120200,GAVILAN COLLEGE,CA,950209599,Public,1,1,4000,1,4000,
00120300,GLENDALE COMMUNITY COLLEGE,CA,912082894,Public,5,6,45807,11,45807,
00120500,GOLDEN GATE UNIVERSITY,CA,941052967,Private-Nonprofit,0,0,0,0,0,
00120600,GOLDEN WEST COLLEGE,CA,926472748,Public,0,0,0,0,0,
00120700,Graduate Theological Union,CA,947091212,Private-Nonprofit,0,0,0,0,0,
00120800,GROSSMONT COLLEGE,CA,920201799,Public,0,0,0,0,0,
00121200,HUMPHREYS UNIVERSITY,CA,952073896,Private-Nonprofit,27,33,241027,134,241027,
00121500,LA SIERRA UNIVERSITY,CA,925153332,Private-Nonprofit,400,464,5325611,1182,5325611,
00121600,UNIVERSITY OF LA VERNE,CA,917504443,Private-Nonprofit,655,706,10846297,1255,10846297,
00121700,LASSEN COLLEGE,CA,961303000,Public,3,3,22520,15,22520,
00121800,LOMA LINDA UNIVERSITY,CA,923500001,Private-Nonprofit,108,125,2804516,355,2804516,
00121900,LONG BEACH CITY COLLEGE,CA,908081780,Public,0,0,0,0,0,
00122000,MASTER'S UNIVERSITY AND SEMINARY (THE),CA,913211200,Private-Nonprofit,102,103,1612522,180,1612522,
00122300,LOS ANGELES CITY COLLEGE,CA,900293588,Public,2,2,28175,3,28175,
00122400,LOS ANGELES HARBOR COLLEGE,CA,907442397,Public,0,0,0,0,0,
00122600,LOS ANGELES PIERCE COLLEGE,CA,913710001,Public,7,7,72804,14,72804,
00122700,LOS ANGELES TRADE-TECHNICAL COLLEGE,CA,900154181,Public,0,0,0,0,0,
00122800,LOS ANGELES VALLEY COLLEGE,CA,914014096,Public,0,0,0,0,0,
00122900,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,CA,906044051,Private-Nonprofit,1,1,3738,1,3738,
00123000,MARSHALL B. KETCHUM UNIVERSITY,CA,928311699,Private-Nonprofit,0,0,0,0,0,
00123200,AMERICAN RIVER COLLEGE,CA,958414286,Public,0,0,0,0,0,
00123300,Sacramento City College,CA,958221386,Public,0,0,0,0,0,
00123600,MENLO COLLEGE,CA,940274301,Private-Nonprofit,133,135,2849520,259,2849520,
00123800,MILLS COLLEGE,CA,946131301,Private-Nonprofit,90,99,1597977,181,1597977,
00123900,MIRACOSTA COLLEGE,CA,920563899,Public,0,0,0,0,0,
00124200,MONTEREY PENINSULA COLLEGE,CA,939404799,Public,8,8,118358,26,118358,
00124300,MOUNT SAINT MARY'S UNIVERSITY,CA,900491599,Private-Nonprofit,605,706,7260515,1270,7260515,
00124500,MOUNT SAN ANTONIO COLLEGE,CA,917891399,Public,9,9,76461,30,76461,
00124700,NAPA VALLEY COLLEGE,CA,945586236,Public,0,0,0,0,0,
00124900,OCCIDENTAL COLLEGE,CA,900413314,Private-Nonprofit,132,144,3064988,268,3064988,
00125000,ORANGE COAST COLLEGE,CA,926285005,Public,17,19,160618,30,160618,
00125100,OTIS COLLEGE OF ART AND DESIGN,CA,900453505,Private-Nonprofit,228,238,5180900,453,5180900,
00125200,Hope International University,CA,928313104,Private-Nonprofit,103,109,1277342,196,1277342,
00125300,FRESNO PACIFIC UNIVERSITY,CA,937024798,Private-Nonprofit,127,130,1349325,238,1349325,
00125500,Pacific Oaks College,CA,911033606,Private-Nonprofit,3,3,36385,11,36385,
00125600,PACIFIC SCHOOL OF RELIGION,CA,947091323,Private-Nonprofit,0,0,0,0,0,
00125800,PACIFIC UNION COLLEGE,CA,945089797,Private-Nonprofit,168,168,2094196,451,2094196,
00126000,PALOMAR COLLEGE,CA,920691486,Public,0,0,0,0,0,
00126100,PASADENA CITY COLLEGE,CA,911062003,Public,3,3,21689,6,21689,
00126200,Point Loma Nazarene University,CA,921062899,Private-Nonprofit,454,525,9487747,915,9487747,
00126600,LANEY COLLEGE,CA,946074893,Public,0,0,0,0,0,
00126700,MERRITT COLLEGE,CA,946193196,Public,0,0,0,0,0,
00126900,RIO HONDO COMMUNITY COLLEGE,CA,906011699,Public,0,0,0,0,0,
00127000,Riverside City College,CA,925061299,Public,0,0,0,0,0,
00127300,SAN DIEGO CITY COLLEGE,CA,921014787,Public,7,7,75891,12,75891,
00127500,San Diego Mesa College,CA,921114996,Public,12,12,127819,23,127819,
00127800,SAN FRANCISCO CONSERVATORY OF MUSIC,CA,941026011,Private-Nonprofit,40,41,873574,78,873574,
00127900,SAN FRANCISCO THEOLOGICAL SEMINARY,CA,949602905,Private-Nonprofit,0,0,0,0,0,
00128000,SAN JOAQUIN DELTA COLLEGE,CA,952076370,Public,0,0,0,0,0,
00128100,WILLIAM JESSUP UNIVERSITY,CA,957653784,Private-Nonprofit,151,169,2224252,298,2224252,
00128200,SAN JOSE CITY COLLEGE,CA,951282797,Public,3,3,25884,6,25884,
00128400,SANTA ANA COLLEGE,CA,927063398,Public,0,0,0,0,0,
00128500,SANTA BARBARA CITY COLLEGE,CA,931092394,Public,108,111,1297735,212,1297735,
00128600,SANTA MONICA COLLEGE,CA,904051644,Public,43,48,563772,91,563772,
00128700,SANTA ROSA JUNIOR COLLEGE - SANTA ROSA,CA,954014395,Public,0,0,0,0,0,
00128800,CLAREMONT SCHOOL OF THEOLOGY,CA,917113199,Private-Nonprofit,0,0,0,0,0,
00128900,SHASTA COLLEGE,CA,960497692,Public,0,0,0,0,0,
00129000,SIERRA COLLEGE,CA,956773397,Public,7,9,52515,15,52515,
00129100,SIMPSON UNIVERSITY,CA,960038606,Private-Nonprofit,72,77,1023131,145,1023131,
00129200,SOLANO COMMUNITY COLLEGE,CA,945343197,Public,0,0,0,0,0,
00129300,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,926266597,Private-Nonprofit,246,261,4206295,483,4206295,
00129400,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,CA,919107299,Public,0,0,0,0,0,
00129500,Southwestern Law School,CA,900101106,Private-Nonprofit,0,0,0,0,0,
00129600,DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY,CA,947081295,Private-Nonprofit,0,0,0,0,0,
00130200,SAINT MARY'S COLLEGE OF CALIFORNIA,CA,945562744,Private-Nonprofit,423,470,11209572,828,11209572,
00130500,STANFORD UNIVERSITY,CA,943051926,Private-Nonprofit,148,167,3997517,439,3997517,
00130700,FRESNO CITY COLLEGE,CA,937410002,Public,0,0,0,0,0,
00130800,REEDLEY COLLEGE,CA,936542099,Public,2,2,19794,6,19794,
00131200,"UNIVERSITY OF CALIFORNIA, BERKELEY",CA,947201520,Public,1377,1797,25693142,3351,25693142,
00131300,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,956168558,Public,1527,1614,26409089,4524,26409089,
00131400,"University of California, Irvine",CA,926970001,Public,2405,3718,33721819,9818,33721819,
00131500,"University of California, Los Angeles",CA,900959000,Public,2296,2701,39547415,6827,39547415,
00131600,"University of California, Riverside",CA,925210209,Public,1690,1798,19790491,5316,19790491,
00131700,"University of California, San Diego",CA,920930013,Public,1241,1547,20359653,3847,20359653,
00131900,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,941430402,Public,0,0,0,0,0,
00132000,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",CA,931062030,Public,1746,2174,27732326,5454,27732326,
00132100,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",CA,950640001,Public,1405,1558,24014828,4115,24014828,
00132200,UNIVERSITY OF REDLANDS,CA,923730999,Private-Nonprofit,380,399,7564282,715,7564282,
00132500,UNIVERSITY OF SAN FRANCISCO,CA,941171080,Private-Nonprofit,666,816,17979851,1473,17979851,
00132600,Santa Clara University,CA,950534956,Private-Nonprofit,317,344,9468155,910,9468155,
00132800,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,900890001,Private-Nonprofit,1690,3001,47644709,3044,47644709,
00132900,UNIVERSITY OF THE PACIFIC,CA,952110197,Private-Nonprofit,808,891,20108715,1651,20108715,
00133400,VENTURA COLLEGE,CA,930033899,Public,3,4,35100,8,35100,
00133800,WEST VALLEY COLLEGE,CA,950705697,Public,0,0,0,0,0,
00133900,CORBAN UNIVERSITY,OR,973179392,Private-Nonprofit,126,127,1597985,237,1597985,
00134100,WESTMONT COLLEGE,CA,931081099,Private-Nonprofit,176,182,4154279,330,4154279,
00134200,Whittier College,CA,906084413,Private-Nonprofit,252,288,4573894,520,4573894,
00134300,WOODBURY UNIVERSITY,CA,915041052,Private-Nonprofit,230,259,4260755,455,4260755,
00134500,ADAMS STATE UNIVERSITY,CO,811022373,Public,230,242,2177336,449,2177336,
00134600,ARAPAHOE COMMUNITY COLLEGE,CO,801609002,Public,13,13,72352,21,72352,
00134700,COLORADO COLLEGE,CO,809033294,Private-Nonprofit,55,56,1546060,101,1546060,
00134800,COLORADO SCHOOL OF MINES,CO,804011887,Public,625,709,13519975,1281,13519975,
00134900,UNIVERSITY OF NORTHERN COLORADO,CO,806390001,Public,1542,1601,18496484,3041,18496484,
00135000,Colorado State University,CO,805230100,Public,3379,4015,58281582,6970,58281582,
00135200,DENVER SEMINARY,CO,801202192,Private-Nonprofit,0,0,0,0,0,
00135300,FORT LEWIS COLLEGE,CO,813013999,Public,367,396,3930151,696,3930151,
00135400,ILIFF SCHOOL OF THEOLOGY,CO,802104798,Private-Nonprofit,0,0,0,0,0,
00135500,LAMAR COMMUNITY COLLEGE,CO,810523999,Public,29,29,185828,55,185828,
00135800,Colorado Mesa University,CO,815013122,Public,1025,1165,9788589,2037,9788589,
00135900,Colorado Northwestern Community College,CO,816483598,Public,20,20,260093,41,260093,
00136000,METROPOLITAN STATE UNIVERSITY OF DENVER,CO,802043362,Public,257,286,2444474,464,2444474,
00136100,NORTHEASTERN JUNIOR COLLEGE,CO,807512399,Public,52,54,383091,100,383091,
00136200,OTERO JUNIOR COLLEGE,CO,810503346,Public,15,20,67933,40,67933,
00136300,REGIS UNIVERSITY,CO,802211099,Private-Nonprofit,296,325,5062767,586,5062767,
00136500,COLORADO STATE UNIVERSITY-PUEBLO,CO,810014901,Public,280,334,2641809,609,2641809,
00136800,TRINIDAD STATE JUNIOR COLLEGE,CO,810822396,Public,11,11,57337,20,57337,
00137000,UNIVERSITY OF COLORADO BOULDER,CO,803090077,Public,2307,2779,57105886,4752,57105886,
00137100,UNIVERSITY OF DENVER,CO,802082000,Private-Nonprofit,455,543,11474810,1393,11474810,
00137200,Western State Colorado University,CO,812310000,Public,338,363,4067614,647,4067614,
00137400,ALBERTUS MAGNUS COLLEGE,CT,065111189,Private-Nonprofit,81,95,896558,172,896558,
00137800,CENTRAL CONNECTICUT STATE UNIVERSITY,CT,060502490,Public,702,863,7792056,1431,7792056,
00137900,CONNECTICUT COLLEGE,CT,063204196,Private-Nonprofit,157,177,3916554,356,3916554,
00138000,WESTERN CONNECTICUT STATE UNIVERSITY,CT,068106826,Public,485,502,6178788,938,6178788,
00138500,FAIRFIELD UNIVERSITY,CT,068245171,Private-Nonprofit,347,377,8817415,668,8817415,
00138700,HARTFORD SEMINARY,CT,061052279,Private-Nonprofit,0,0,0,0,0,
00138900,Holy Apostles College & Seminary,CT,064162027,Private-Nonprofit,0,0,0,0,0,
00139200,MANCHESTER COMMUNITY COLLEGE,CT,060451046,Public,1,1,5000,1,5000,
00139300,MITCHELL COLLEGE,CT,063204498,Private-Nonprofit,132,144,1940920,256,1940920,
00139700,UNIVERSITY OF NEW HAVEN,CT,065161999,Private-Nonprofit,995,1039,22423882,1938,22423882,
00139800,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,CT,060981747,Public,4,5,22918,16,22918,
00139900,NORWALK COMMUNITY COLLEGE,CT,068541655,Public,3,3,23500,6,23500,
00140100,POST UNIVERSITY,CT,067233240,Proprietary,194,222,2365816,488,2365816,
00140200,QUINNIPIAC UNIVERSITY,CT,065181908,Private-Nonprofit,1023,1131,29056124,2138,29056124,
00140300,Sacred Heart University,CT,068251000,Private-Nonprofit,737,871,17354216,1485,17354216,
00140600,SOUTHERN CONNECTICUT STATE UNIVERSITY,CT,065151355,Public,1390,1493,17086525,2679,17086525,
00140900,UNIVERSITY OF SAINT JOSEPH,CT,061172791,Private-Nonprofit,136,142,2144551,266,2144551,
00141400,TRINITY COLLEGE,CT,061063100,Private-Nonprofit,122,145,3461977,231,3461977,
00141600,UNIVERSITY OF BRIDGEPORT,CT,066015650,Private-Nonprofit,398,489,5982421,797,5982421,
00141700,UNIVERSITY OF CONNECTICUT,CT,062692151,Public,3549,3919,60984175,7153,60984175,
00142200,UNIVERSITY OF HARTFORD,CT,061171599,Private-Nonprofit,795,899,16344932,1624,16344932,
00142400,WESLEYAN UNIVERSITY,CT,064593208,Private-Nonprofit,142,157,3971316,279,3971316,
00142500,EASTERN CONNECTICUT STATE UNIVERSITY,CT,062262295,Public,569,666,6315663,1165,6315663,
00142600,YALE UNIVERSITY,CT,065208229,Private-Nonprofit,142,149,3265465,284,3265465,
00142800,DELAWARE STATE UNIVERSITY,DE,199012277,Public,1097,1266,18931284,2469,18931284,
00142900,GOLDEY-BEACOM COLLEGE,DE,198081993,Private-Nonprofit,33,34,213468,63,213468,
00143100,UNIVERSITY OF DELAWARE,DE,197160099,Public,1689,2054,36577400,3487,36577400,
00143300,WESLEY COLLEGE,DE,199013875,Private-Nonprofit,518,549,7791874,1018,7791874,
00143400,AMERICAN UNIVERSITY,DC,200168020,Private-Nonprofit,1021,1408,27133534,2124,27133534,
00143600,CAPITOL TECHNOLOGY UNIVERSITY,MD,207089759,Private-Nonprofit,67,67,795629,126,795629,
00143700,CATHOLIC UNIVERSITY OF AMERICA,DC,200640002,Private-Nonprofit,401,444,9667101,798,9667101,
00144100,UNIVERSITY OF THE DISTRICT OF COLUMBIA,DC,200081175,Public,22,22,238640,42,238640,
00144300,GALLAUDET UNIVERSITY,DC,200023695,Private-Nonprofit,56,62,698146,114,698146,
00144400,GEORGE WASHINGTON UNIVERSITY,DC,200522353,Private-Nonprofit,748,891,18340848,1610,18340848,
00144500,GEORGETOWN UNIVERSITY,DC,200571252,Private-Nonprofit,373,381,11976386,748,11976386,
00144800,HOWARD UNIVERSITY,DC,200590001,Private-Nonprofit,1653,1677,44220793,3671,43433230,
00145900,STRAYER UNIVERSITY,DC,200052603,Proprietary,203,220,1697609,565,1697609,
00146000,Trinity Washington University,DC,200171004,Private-Nonprofit,105,120,962231,192,962231,
00146400,WESLEY THEOLOGICAL SEMINARY,DC,200165690,Private-Nonprofit,0,0,0,0,0,
00146600,BARRY UNIVERSITY,FL,331616628,Private-Nonprofit,290,381,3125363,595,3125363,
00146700,BETHUNE COOKMAN UNIVERSITY,FL,321143099,Private-Nonprofit,1159,1260,13114292,2462,13114292,
00146800,SAINT THOMAS UNIVERSITY,FL,330540000,Private-Nonprofit,96,115,1065369,179,1065369,
