OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,,
00110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,Public,143,171,1136298,315,1132149,,
00110200,OUACHITA BAPTIST UNIVERSITY,AR,719980001,Private-Nonprofit,132,148,1641961,286,1640011,,
00110300,PHILANDER SMITH COLLEGE,AR,722023718,Private-Nonprofit,56,64,610836,125,610836,,
00110500,SHORTER COLLEGE,AR,721144885,Private-Nonprofit,0,0,0,0,0,,
00110600,WILLIAMS BAPTIST COLLEGE,AR,724764661,Private-Nonprofit,43,46,311877,76,311877,,
00110700,SOUTHERN ARKANSAS UNIVERSITY,AR,717535000,Public,125,133,738285,252,730115,,
00110800,UNIVERSITY OF ARKANSAS,AR,727010000,Public,1262,1442,17648346,2514,17636346,,
00110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,Public,45,45,286274,98,286274,,
00111000,UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,729047397,Public,34,38,239340,73,236090,,
00111100,ALLAN HANCOCK COLLEGE,CA,934546399,Public,0,0,0,0,0,,
00111300,ANTELOPE VALLEY COLLEGE,CA,935365426,Public,0,0,0,0,0,,
00111600,ART CENTER COLLEGE OF DESIGN,CA,911031999,Private-Nonprofit,237,287,7044089,524,7044089,,
00111700,AZUSA PACIFIC UNIVERSITY,CA,917027000,Private-Nonprofit,1101,1294,15608015,2453,15608015,,
00111800,BAKERSFIELD COLLEGE,CA,933051299,Public,1,1,4174,2,4174,,
00112000,AMERICAN BAPTIST SEMINARY OF THE WEST,CA,947043029,Private-Nonprofit,0,0,0,0,0,,
00112200,BIOLA UNIVERSITY,CA,906390001,Private-Nonprofit,662,725,14521011,1281,14517211,,
00112300,BROOKS INSTITUTE,CA,930011023,Proprietary,112,147,2919352,288,2763520,,
00112400,CABRILLO COLLEGE,CA,950033194,Public,0,0,0,0,0,,
00112500,CALIFORNIA BAPTIST UNIVERSITY,CA,925043297,Private-Nonprofit,906,1071,16844617,1731,16844617,,
00112700,CALIFORNIA COLLEGE OF THE ARTS,CA,941072206,Private-Nonprofit,246,295,3688517,522,3636254,,
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,911250001,Private-Nonprofit,20,20,323542,56,323542,,
00113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,913552397,Private-Nonprofit,149,161,4428530,302,4409241,,
00113300,CALIFORNIA LUTHERAN UNIVERSITY,CA,913602787,Private-Nonprofit,562,612,9890681,1109,9890681,,
00113400,CALIFORNIA MARITIME ACADEMY,CA,945908181,Public,164,205,2348842,351,2348842,,
00113700,"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,928313599,Public,328,343,4062625,664,4062625,,
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",CA,945423000,Public,378,409,4789569,1208,4789569,,
00113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,908400006,Public,294,311,3402065,589,3392165,,
00114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,900324226,Public,83,87,864283,235,864283,,
00114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,907470001,Public,129,137,900493,249,900493,,
00114200,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,924072397,Public,347,375,2949943,961,2949943,,
00114300,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,934070001,Public,2379,2456,33822357,6962,33822353,,
00114400,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,917682500,Public,336,359,3817542,980,3817542,,
00114600,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,959290001,Public,314,324,3803022,617,3803022,,
00114700,"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,937408026,Public,134,136,1342143,261,1342143,,
00114900,HUMBOLDT STATE UNIVERSITY,CA,955218299,Public,304,309,3755830,593,3755761,,
00115000,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,958196044,Public,979,999,10043213,1902,10042451,,
00115100,SAN DIEGO STATE UNIVERSITY,CA,921821690,Public,1358,1442,18595250,2782,18513518,,
00115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,913308307,Public,240,252,2473101,479,2473101,,
00115400,SAN FRANCISCO STATE UNIVERSITY,CA,941321740,Public,1514,1553,18303912,2924,17942302,,
00115500,SAN JOSE STATE UNIVERSITY,CA,951920036,Public,795,817,10828473,1525,10695575,,
00115600,SONOMA STATE UNIVERSITY,CA,949283609,Public,753,769,10267956,1452,10267956,,
00115700,"CALIFORNIA STATE UNIVERSITY, STANISLAUS",CA,953820299,Public,167,175,1462115,320,1462115,,
00116100,CERRITOS COMMUNITY COLLEGE,CA,906506296,Public,0,0,0,0,0,,
00116200,CHABOT COLLEGE,CA,945452400,Public,0,0,0,0,0,,
00116400,CHAPMAN UNIVERSITY,CA,928661099,Private-Nonprofit,1205,1223,19570623,2333,19561123,,
00116500,CHURCH DIVINITY SCHOOL OF THE PACIFIC,CA,947091217,Private-Nonprofit,0,0,0,0,0,,
00116600,CITRUS COMMUNITY COLLEGE,CA,917411899,Public,13,13,69320,25,69320,,
00116900,CLAREMONT GRADUATE UNIVERSITY,CA,917116163,Private-Nonprofit,0,0,0,0,0,,
00117000,CLAREMONT MCKENNA COLLEGE,CA,917116400,Private-Nonprofit,52,53,1471702,104,1471702,,
00117100,HARVEY MUDD COLLEGE,CA,917115990,Private-Nonprofit,75,75,1516808,144,1516808,,
00117200,PITZER COLLEGE,CA,917116101,Private-Nonprofit,57,63,1746533,118,1746533,,
00117300,POMONA COLLEGE,CA,917116301,Private-Nonprofit,37,39,873833,77,873833,,
00117400,SCRIPPS COLLEGE,CA,917113948,Private-Nonprofit,46,46,1211185,91,1211185,,
00117600,WEST HILLS COMMUNITY COLLEGE,CA,932101399,Public,6,6,49406,13,49406,,
00117700,COGSWELL POLYTECHNICAL COLLEGE,CA,951341697,Proprietary,145,178,2019874,367,1994323,,
00117800,COLLEGE OF MARIN,CA,949042590,Public,0,0,0,0,0,,
00117900,NOTRE DAME DE NAMUR UNIVERSITY,CA,940021997,Private-Nonprofit,257,262,4948857,495,4908268,,
00118100,COLLEGE OF SAN MATEO,CA,944023784,Public,4,5,44820,9,35545,,
00118300,HOLY NAMES UNIVERSITY,CA,946191699,Private-Nonprofit,109,116,1746115,210,1739565,,
00118500,COLLEGE OF THE REDWOODS,CA,955019300,Public,23,23,265703,41,265703,,
00118600,COLLEGE OF THE SEQUOIAS,CA,932772234,Public,1,1,5000,2,5000,,
00118700,COLLEGE OF THE SISKIYOUS,CA,960942899,Public,16,17,169796,29,162796,,
00119000,CONTRA COSTA COLLEGE,CA,948063195,Public,0,0,0,0,0,,
00119100,DIABLO VALLEY COLLEGE,CA,945231544,Public,7,7,80164,7,61773,,
00119200,CUESTA COLLEGE,CA,934038106,Public,20,21,173697,38,166043,,
00119300,CYPRESS COLLEGE,CA,906305897,Public,0,0,0,0,0,,
00119600,DOMINICAN UNIVERSITY OF CALIFORNIA,CA,949012298,Private-Nonprofit,258,279,5852024,490,5852024,,
00119900,FOOTHILL COLLEGE,CA,940224597,Public,4,4,31172,9,29238,,
00120000,FULLER THEOLOGICAL SEMINARY,CA,911820002,Private-Nonprofit,0,0,0,0,0,,
00120100,FULLERTON COLLEGE,CA,928322095,Public,0,0,0,0,0,,
00120200,GAVILAN COLLEGE,CA,950209599,Public,0,0,0,0,0,,
00120300,GLENDALE COMMUNITY COLLEGE,CA,912082894,Public,0,0,0,0,0,,
00120500,GOLDEN GATE UNIVERSITY,CA,941052967,Private-Nonprofit,1,1,3000,2,3000,,
00120600,GOLDEN WEST COLLEGE,CA,926472748,Public,0,0,0,0,0,,
00120700,GRADUATE THEOLOGICAL UNION,CA,947091212,Private-Nonprofit,0,0,0,0,0,,
00120800,GROSSMONT COLLEGE,CA,920201799,Public,0,0,0,0,0,,
00121200,HUMPHREYS UNIVERSITY,CA,952073896,Private-Nonprofit,20,22,217725,98,217725,,
00121500,LA SIERRA UNIVERSITY,CA,925153332,Private-Nonprofit,289,326,3985337,870,3926641,,
00121600,UNIVERSITY OF LA VERNE,CA,917504443,Private-Nonprofit,583,611,9235148,1143,9235148,,
00121700,LASSEN COLLEGE,CA,961303000,Public,0,0,0,0,0,,
00121800,LOMA LINDA UNIVERSITY,CA,923500001,Private-Nonprofit,82,100,1810564,259,1810564,,
00121900,LONG BEACH CITY COLLEGE,CA,908081780,Public,0,0,0,0,0,,
00122000,MASTER'S UNIVERSITY AND SEMINARY (THE),CA,913211200,Private-Nonprofit,103,105,1538354,191,1538354,,
00122300,LOS ANGELES CITY COLLEGE,CA,900293588,Public,1,1,11695,2,11695,,
00122400,LOS ANGELES HARBOR COLLEGE,CA,907442397,Public,0,0,0,0,0,,
00122600,LOS ANGELES PIERCE COLLEGE,CA,913710001,Public,6,6,67993,13,67993,,
00122700,LOS ANGELES TRADE-TECHNICAL COLLEGE,CA,900154181,Public,0,0,0,0,0,,
00122800,LOS ANGELES VALLEY COLLEGE,CA,914014096,Public,0,0,0,0,0,,
00122900,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,CA,906044051,Private-Nonprofit,1,1,2387,1,2387,,
00123000,MARSHALL B. KETCHUM UNIVERSITY,CA,928311699,Private-Nonprofit,0,0,0,0,0,,
00123200,AMERICAN RIVER COLLEGE,CA,958414286,Public,0,0,0,0,0,,
00123300,SACRAMENTO CITY COLLEGE,CA,958221386,Public,0,0,0,0,0,,
00123600,MENLO COLLEGE,CA,940274301,Private-Nonprofit,119,125,2319828,235,2308828,,
00123800,MILLS COLLEGE,CA,946131301,Private-Nonprofit,111,123,2042143,227,2042143,,
00123900,MIRACOSTA COLLEGE,CA,920563899,Public,0,0,0,0,0,,
00124200,MONTEREY PENINSULA COLLEGE,CA,939404799,Public,6,8,71647,20,71647,,
00124300,MOUNT SAINT MARY'S UNIVERSITY,CA,900491599,Private-Nonprofit,500,553,6405144,1037,6405144,,
00124500,MOUNT SAN ANTONIO COLLEGE,CA,917891399,Public,2,2,17406,4,17406,,
00124700,NAPA VALLEY COLLEGE,CA,945586236,Public,0,0,0,0,0,,
00124900,OCCIDENTAL COLLEGE,CA,900413314,Private-Nonprofit,149,167,3514470,304,3514470,,
00125000,ORANGE COAST COLLEGE,CA,926285005,Public,12,12,121970,20,121970,,
00125100,OTIS COLLEGE OF ART AND DESIGN,CA,900453505,Private-Nonprofit,235,244,5056908,463,5051908,,
00125200,HOPE INTERNATIONAL UNIVERSITY,CA,928313104,Private-Nonprofit,113,120,1471555,213,1420515,,
00125300,FRESNO PACIFIC UNIVERSITY,CA,937024798,Private-Nonprofit,128,132,1151091,243,1151091,,
00125500,PACIFIC OAKS COLLEGE,CA,911033606,Private-Nonprofit,2,2,33959,4,33959,,
00125600,PACIFIC SCHOOL OF RELIGION,CA,947091323,Private-Nonprofit,0,0,0,0,0,,
00125800,PACIFIC UNION COLLEGE,CA,945089797,Private-Nonprofit,142,142,2023994,393,2023994,,
00126000,PALOMAR COLLEGE,CA,920691486,Public,0,0,0,0,0,,
00126100,PASADENA CITY COLLEGE,CA,911062003,Public,1,1,5500,2,5500,,
00126200,POINT LOMA NAZARENE UNIVERSITY,CA,921062899,Private-Nonprofit,441,532,9194077,921,9194077,,
00126600,LANEY COLLEGE,CA,946074893,Public,0,0,0,0,0,,
00126700,MERRITT COLLEGE,CA,946193196,Public,1,1,10500,1,9409,,
00126900,RIO HONDO COMMUNITY COLLEGE,CA,906011699,Public,0,0,0,0,0,,
00127000,RIVERSIDE CITY COLLEGE,CA,925061299,Public,0,0,0,0,0,,
00127300,SAN DIEGO CITY COLLEGE,CA,921014787,Public,3,3,32180,7,32180,,
00127500,SAN DIEGO MESA COLLEGE,CA,921114996,Public,13,13,113636,27,113636,,
00127800,SAN FRANCISCO CONSERVATORY OF MUSIC,CA,941026011,Private-Nonprofit,31,32,618111,59,552781,,
00127900,SAN FRANCISCO THEOLOGICAL SEMINARY,CA,949602905,Private-Nonprofit,0,0,0,0,0,,
00128000,SAN JOAQUIN DELTA COLLEGE,CA,952076370,Public,0,0,0,0,0,,
00128100,WILLIAM JESSUP UNIVERSITY,CA,957653707,Private-Nonprofit,86,96,1128016,161,1122479,,
00128200,SAN JOSE CITY COLLEGE,CA,951282797,Public,6,6,50900,12,50900,,
00128400,SANTA ANA COLLEGE,CA,927063398,Public,0,0,0,0,0,,
00128500,SANTA BARBARA CITY COLLEGE,CA,931092394,Public,123,128,1396445,239,1396445,,
00128600,SANTA MONICA COLLEGE,CA,904051644,Public,33,36,426380,69,426380,,
00128700,SANTA ROSA JUNIOR COLLEGE - SANTA ROSA,CA,954014395,Public,0,0,0,0,0,,
00128800,CLAREMONT SCHOOL OF THEOLOGY,CA,917113199,Private-Nonprofit,0,0,0,0,0,,
00128900,SHASTA COLLEGE,CA,960497692,Public,0,0,0,0,0,,
00129000,SIERRA COLLEGE,CA,956773397,Public,9,11,82877,21,82877,,
00129100,SIMPSON UNIVERSITY,CA,960038606,Private-Nonprofit,105,108,1353777,203,1353777,,
00129200,SOLANO COMMUNITY COLLEGE,CA,945343197,Public,0,0,0,0,0,,
00129300,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,926266597,Private-Nonprofit,199,223,3361847,387,3361847,,
00129400,SOUTHWESTERN COMMUNITY COLLEGE DISTRICT,CA,919107299,Public,0,0,0,0,0,,
00129500,SOUTHWESTERN LAW SCHOOL,CA,900101106,Private-Nonprofit,0,0,0,0,0,,
00129600,DOMINICAN SCHOOL OF PHILOSOPHY AND THEOLOGY,CA,947081295,Private-Nonprofit,0,0,0,0,0,,
00130200,SAINT MARY'S COLLEGE OF CALIFORNIA,CA,945562744,Private-Nonprofit,428,468,10470045,835,10266626,,
00130500,STANFORD UNIVERSITY,CA,943051926,Private-Nonprofit,199,213,5220860,577,5220860,,
00130700,FRESNO CITY COLLEGE,CA,937410002,Public,0,0,0,0,0,,
00130800,REEDLEY COLLEGE,CA,936542099,Public,5,5,19973,9,19973,,
00131200,"UNIVERSITY OF CALIFORNIA, BERKELEY",CA,947201520,Public,1236,2192,21224087,3983,21224087,,
00131300,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,956168558,Public,1315,1405,21260166,3853,21229982,,
00131400,"UNIVERSITY OF CALIFORNIA, IRVINE",CA,926970001,Public,2225,3822,29290525,10040,29290525,,
00131500,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,900959000,Public,2017,2355,33095627,5805,33083245,,
00131600,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",CA,925210209,Public,1522,1707,18076599,5058,18076599,,
00131700,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,920930013,Public,1120,1393,17050830,3343,17050830,,
00131900,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,941430246,Public,0,0,0,0,0,,
00132000,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",CA,931062030,Public,1754,2049,26572164,4842,26572164,,
00132100,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",CA,950640001,Public,1632,1823,24344332,4691,24334726,,
00132200,UNIVERSITY OF REDLANDS,CA,923730999,Private-Nonprofit,345,352,6420106,674,6420106,,
00132500,UNIVERSITY OF SAN FRANCISCO,CA,941171080,Private-Nonprofit,546,663,12677087,1162,12677087,,
00132600,SANTA CLARA UNIVERSITY,CA,950534956,Private-Nonprofit,398,442,11133015,1214,11126512,,
00132800,UNIVERSITY OF SOUTHERN CALIFORNIA,CA,900890001,Private-Nonprofit,1722,2081,47012252,3562,46901185,,
00132900,UNIVERSITY OF THE PACIFIC,CA,952110197,Private-Nonprofit,823,911,19600166,1703,19600166,,
00133400,VENTURA COLLEGE,CA,930033899,Public,5,5,22450,8,22450,,
00133800,WEST VALLEY COLLEGE,CA,950705697,Public,0,0,0,0,0,,
00133900,CORBAN UNIVERSITY,OR,973179392,Private-Nonprofit,106,106,1496439,197,1496439,,
00134100,WESTMONT COLLEGE,CA,931081099,Private-Nonprofit,162,174,3709466,318,3709466,,
00134200,WHITTIER COLLEGE,CA,906084413,Private-Nonprofit,264,308,4880511,560,4866281,,
00134300,WOODBURY UNIVERSITY,CA,915041052,Private-Nonprofit,214,269,3927538,459,3927538,,
00134500,ADAMS STATE UNIVERSITY,CO,811022373,Public,206,217,1964922,418,1964922,,
00134600,ARAPAHOE COMMUNITY COLLEGE,CO,801609002,Public,11,11,67318,20,56793,,
00134700,COLORADO COLLEGE,CO,809033294,Private-Nonprofit,70,76,1659018,137,1630872,,
00134800,COLORADO SCHOOL OF MINES,CO,804011887,Public,684,758,12982437,1371,12971133,,
00134900,UNIVERSITY OF NORTHERN COLORADO,CO,806390001,Public,1416,1551,17030639,2787,16928202,,
00135000,COLORADO STATE UNIVERSITY,CO,805230100,Public,2906,3246,44173862,5825,44167537,,
00135200,DENVER SEMINARY,CO,801202192,Private-Nonprofit,0,0,0,0,0,,
00135300,FORT LEWIS COLLEGE,CO,813013999,Public,362,379,4077992,679,4077992,,
00135400,ILIFF SCHOOL OF THEOLOGY,CO,802104798,Private-Nonprofit,0,0,0,0,0,,
00135500,LAMAR COMMUNITY COLLEGE,CO,810523999,Public,11,14,70120,27,70120,,
00135800,COLORADO MESA UNIVERSITY,CO,815013122,Public,796,857,7207179,1605,7196944,,
00135900,COLORADO NORTHWESTERN COMMUNITY COLLEGE,CO,816483598,Public,7,7,137100,14,137100,,
00136000,METROPOLITAN STATE UNIVERSITY OF DENVER,CO,802043362,Public,424,456,3343093,805,3339821,,
00136100,NORTHEASTERN JUNIOR COLLEGE,CO,807512399,Public,39,47,220288,89,220288,,
00136200,OTERO JUNIOR COLLEGE,CO,810503346,Public,12,23,56037,70,54337,,
00136300,REGIS UNIVERSITY,CO,802211099,Private-Nonprofit,277,294,4416456,539,4416456,,
00136500,COLORADO STATE UNIVERSITY-PUEBLO,CO,810014901,Public,262,287,2634637,531,2627387,,
00136800,TRINIDAD STATE JUNIOR COLLEGE,CO,810822396,Public,14,14,110887,27,110887,,
00137000,UNIVERSITY OF COLORADO BOULDER,CO,803090077,Public,2312,2783,51121022,4707,51121022,,
00137100,UNIVERSITY OF DENVER,CO,802082000,Private-Nonprofit,424,515,9784278,1319,9609155,,
00137200,WESTERN STATE COLORADO UNIVERSITY,CO,812310000,Public,266,270,2927484,497,2927484,,
00137400,ALBERTUS MAGNUS COLLEGE,CT,065111189,Private-Nonprofit,68,74,766477,124,766477,,
00137800,CENTRAL CONNECTICUT STATE UNIVERSITY,CT,060502490,Public,509,572,5539171,973,5448764,,
00137900,CONNECTICUT COLLEGE,CT,063204196,Private-Nonprofit,143,148,3372981,293,3372981,,
00138000,WESTERN CONNECTICUT STATE UNIVERSITY,CT,068106826,Public,364,388,3993161,756,3993161,,
00138500,FAIRFIELD UNIVERSITY,CT,068245171,Private-Nonprofit,368,395,9126420,735,9126420,,
00138700,HARTFORD SEMINARY,CT,061052279,Private-Nonprofit,0,0,0,0,0,,
00138900,HOLY APOSTLES COLLEGE & SEMINARY,CT,064162027,Private-Nonprofit,0,0,0,0,0,,
00139200,MANCHESTER COMMUNITY COLLEGE,CT,060451046,Public,0,0,0,0,0,,
00139300,MITCHELL COLLEGE,CT,063204498,Private-Nonprofit,134,150,2113722,267,2113722,,
00139700,UNIVERSITY OF NEW HAVEN,CT,065161999,Private-Nonprofit,886,908,18457577,1688,18457577,,
00139800,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE,CT,060981747,Public,1,1,4000,4,4000,,
00139900,NORWALK COMMUNITY COLLEGE,CT,068541655,Public,0,0,0,0,0,,
00140100,POST UNIVERSITY,CT,067233240,Proprietary,171,192,2101175,345,2088425,,
00140200,QUINNIPIAC UNIVERSITY,CT,065181908,Private-Nonprofit,972,1055,25489002,1980,25469328,,
00140300,SACRED HEART UNIVERSITY,CT,068251000,Private-Nonprofit,570,659,13212795,1107,13212795,,
00140600,SOUTHERN CONNECTICUT STATE UNIVERSITY,CT,065151355,Public,921,1009,9957925,1737,9957925,,
00140900,UNIVERSITY OF SAINT JOSEPH,CT,061172791,Private-Nonprofit,178,179,2849865,340,2849865,,
00141400,TRINITY COLLEGE,CT,061063100,Private-Nonprofit,125,133,3662226,236,3662226,,
00141600,UNIVERSITY OF BRIDGEPORT,CT,066015650,Private-Nonprofit,358,455,5949632,754,5932528,,
00141700,UNIVERSITY OF CONNECTICUT,CT,062692151,Public,3331,3595,52644260,6625,52643726,,
00142200,UNIVERSITY OF HARTFORD,CT,061171599,Private-Nonprofit,707,797,14734590,1458,14725258,,
00142400,WESLEYAN UNIVERSITY,CT,064593208,Private-Nonprofit,142,156,3635441,266,3635441,,
00142500,EASTERN CONNECTICUT STATE UNIVERSITY,CT,062262295,Public,473,554,4945711,980,4937380,,
00142600,YALE UNIVERSITY,CT,065208229,Private-Nonprofit,153,163,3773800,298,3773800,,
00142800,DELAWARE STATE UNIVERSITY,DE,199012277,Public,728,823,12260650,1594,12260650,,
